Timestamp: 2026-06-09 15:07:48 | BTC: $62750.95 | NVDA: $208.64 | Ratio: 300.76
Timestamp: 2026-06-11 16:24:22 | BTC: $62771.72 | NVDA: $200.42 | Ratio: 313.20
Timestamp: 2026-06-11 16:25:13 | BTC: $62767.98 | NVDA: $200.42 | Ratio: 313.18
Timestamp: 2026-06-11 16:41:48 | BTC: $62840.81 | NVDA: $200.42 | Ratio: 313.55
Timestamp: 2026-06-11 20:10:48 | BTC: $62760.68 | NVDA: $202.38 | Ratio: 310.11
Timestamp: 2026-06-11 20:10:59 | BTC: $62748.49 | NVDA: $202.42 | Ratio: 309.99
Timestamp: 2026-06-11 20:11:10 | BTC: $62732.87 | NVDA: $202.27 | Ratio: 310.14
Timestamp: 2026-06-11 20:11:20 | BTC: $62707.83 | NVDA: $202.27 | Ratio: 310.02
Timestamp: 2026-06-11 20:11:31 | BTC: $62746.63 | NVDA: $202.43 | Ratio: 309.97
Timestamp: 2026-06-11 20:11:42 | BTC: $62746.63 | NVDA: $202.45 | Ratio: 309.94
Timestamp: 2026-06-11 20:11:52 | BTC: $62787.42 | NVDA: $202.45 | Ratio: 310.14
Timestamp: 2026-06-11 20:12:03 | BTC: $62784.30 | NVDA: $202.52 | Ratio: 310.01
Timestamp: 2026-06-11 20:12:14 | BTC: $62799.41 | NVDA: $202.63 | Ratio: 309.92
Timestamp: 2026-06-11 20:12:25 | BTC: $62788.59 | NVDA: $202.50 | Ratio: 310.07
Timestamp: 2026-06-11 20:12:35 | BTC: $62724.55 | NVDA: $202.50 | Ratio: 309.75
Timestamp: 2026-06-11 20:12:46 | BTC: $62733.32 | NVDA: $202.33 | Ratio: 310.05
Timestamp: 2026-06-11 20:12:57 | BTC: $62733.32 | NVDA: $202.18 | Ratio: 310.28
Timestamp: 2026-06-11 20:13:08 | BTC: $62734.62 | NVDA: $202.19 | Ratio: 310.28
Timestamp: 2026-06-11 20:13:20 | BTC: $62717.66 | NVDA: $202.34 | Ratio: 309.96
Timestamp: 2026-06-11 20:13:31 | BTC: $62756.01 | NVDA: $202.30 | Ratio: 310.21
Timestamp: 2026-06-11 20:13:41 | BTC: $62753.63 | NVDA: $202.14 | Ratio: 310.45
Timestamp: 2026-06-11 20:13:52 | BTC: $62753.63 | NVDA: $202.08 | Ratio: 310.54
Timestamp: 2026-06-11 20:14:03 | BTC: $62760.02 | NVDA: $202.04 | Ratio: 310.63
Timestamp: 2026-06-11 20:14:14 | BTC: $62760.02 | NVDA: $202.01 | Ratio: 310.67
Timestamp: 2026-06-11 20:14:25 | BTC: $62743.48 | NVDA: $202.15 | Ratio: 310.38
Timestamp: 2026-06-11 20:14:36 | BTC: $62734.06 | NVDA: $201.98 | Ratio: 310.60
Timestamp: 2026-06-11 20:14:46 | BTC: $62752.44 | NVDA: $201.98 | Ratio: 310.69
Timestamp: 2026-06-11 20:15:32 | BTC: $62788.03 | NVDA: $202.16 | Ratio: 310.59
Timestamp: 2026-06-11 20:15:42 | BTC: $62794.84 | NVDA: $202.16 | Ratio: 310.62
Timestamp: 2026-06-11 20:15:53 | BTC: $62791.99 | NVDA: $202.03 | Ratio: 310.81
Timestamp: 2026-06-11 20:16:04 | BTC: $62791.99 | NVDA: $201.99 | Ratio: 310.87
Timestamp: 2026-06-11 20:16:15 | BTC: $62749.83 | NVDA: $201.99 | Ratio: 310.66
Timestamp: 2026-06-11 20:16:25 | BTC: $62708.94 | NVDA: $201.76 | Ratio: 310.80
Timestamp: 2026-06-11 20:16:36 | BTC: $62708.94 | NVDA: $201.74 | Ratio: 310.84
Timestamp: 2026-06-11 20:16:47 | BTC: $62715.15 | NVDA: $201.70 | Ratio: 310.94
Timestamp: 2026-06-11 20:16:57 | BTC: $62677.52 | NVDA: $201.70 | Ratio: 310.75
Timestamp: 2026-06-11 20:17:08 | BTC: $62685.74 | NVDA: $201.73 | Ratio: 310.75
Timestamp: 2026-06-11 20:17:19 | BTC: $62713.47 | NVDA: $201.90 | Ratio: 310.62
Timestamp: 2026-06-11 20:17:30 | BTC: $62713.47 | NVDA: $201.97 | Ratio: 310.51
Timestamp: 2026-06-11 20:17:41 | BTC: $62749.76 | NVDA: $201.94 | Ratio: 310.74
Timestamp: 2026-06-11 20:17:51 | BTC: $62729.94 | NVDA: $201.94 | Ratio: 310.64
Timestamp: 2026-06-11 20:18:02 | BTC: $62729.94 | NVDA: $201.71 | Ratio: 310.99
Timestamp: 2026-06-11 20:18:13 | BTC: $62725.09 | NVDA: $201.66 | Ratio: 311.04
Timestamp: 2026-06-11 20:18:24 | BTC: $62704.77 | NVDA: $201.63 | Ratio: 310.99
Timestamp: 2026-06-11 20:18:35 | BTC: $62700.48 | NVDA: $201.57 | Ratio: 311.06
Timestamp: 2026-06-11 20:18:46 | BTC: $62683.84 | NVDA: $201.46 | Ratio: 311.15
Timestamp: 2026-06-11 20:18:56 | BTC: $62676.00 | NVDA: $201.46 | Ratio: 311.11
Timestamp: 2026-06-11 20:19:07 | BTC: $62676.00 | NVDA: $201.40 | Ratio: 311.21
Timestamp: 2026-06-11 20:19:18 | BTC: $62666.03 | NVDA: $201.38 | Ratio: 311.18
Timestamp: 2026-06-11 20:19:29 | BTC: $62724.64 | NVDA: $201.39 | Ratio: 311.46
Timestamp: 2026-06-11 20:19:40 | BTC: $62749.75 | NVDA: $201.43 | Ratio: 311.52
Timestamp: 2026-06-11 20:19:51 | BTC: $62749.75 | NVDA: $201.34 | Ratio: 311.66
Timestamp: 2026-06-11 20:20:01 | BTC: $62725.54 | NVDA: $201.34 | Ratio: 311.54
Timestamp: 2026-06-11 20:20:13 | BTC: $62735.89 | NVDA: $201.35 | Ratio: 311.58
Timestamp: 2026-06-11 20:20:23 | BTC: $62740.05 | NVDA: $201.40 | Ratio: 311.53
Timestamp: 2026-06-11 20:20:34 | BTC: $62768.25 | NVDA: $201.54 | Ratio: 311.44
Timestamp: 2026-06-11 20:20:45 | BTC: $62785.38 | NVDA: $201.62 | Ratio: 311.40
Timestamp: 2026-06-11 20:20:55 | BTC: $62801.01 | NVDA: $201.62 | Ratio: 311.48
Timestamp: 2026-06-11 20:21:06 | BTC: $62782.64 | NVDA: $201.57 | Ratio: 311.47
Timestamp: 2026-06-11 20:21:17 | BTC: $62782.64 | NVDA: $201.40 | Ratio: 311.73
Timestamp: 2026-06-11 20:21:28 | BTC: $62784.29 | NVDA: $201.40 | Ratio: 311.74
Timestamp: 2026-06-11 20:21:39 | BTC: $62774.99 | NVDA: $201.41 | Ratio: 311.68
Timestamp: 2026-06-11 20:21:50 | BTC: $62791.69 | NVDA: $201.41 | Ratio: 311.76
Timestamp: 2026-06-11 20:22:01 | BTC: $62806.95 | NVDA: $201.65 | Ratio: 311.46
Timestamp: 2026-06-11 20:22:12 | BTC: $62773.98 | NVDA: $201.78 | Ratio: 311.10
Timestamp: 2026-06-11 20:22:23 | BTC: $62747.97 | NVDA: $201.70 | Ratio: 311.10
Timestamp: 2026-06-11 20:22:34 | BTC: $62777.51 | NVDA: $201.76 | Ratio: 311.15
Timestamp: 2026-06-11 20:22:44 | BTC: $62777.25 | NVDA: $201.76 | Ratio: 311.15
Timestamp: 2026-06-11 20:22:55 | BTC: $62838.58 | NVDA: $202.18 | Ratio: 310.81
Timestamp: 2026-06-11 20:23:05 | BTC: $62859.25 | NVDA: $202.18 | Ratio: 310.92
Timestamp: 2026-06-11 20:23:16 | BTC: $62867.95 | NVDA: $202.55 | Ratio: 310.38
Timestamp: 2026-06-11 20:23:26 | BTC: $62867.95 | NVDA: $202.55 | Ratio: 310.38
Timestamp: 2026-06-11 20:23:37 | BTC: $62868.45 | NVDA: $202.47 | Ratio: 310.51
Timestamp: 2026-06-11 20:23:48 | BTC: $62868.45 | NVDA: $202.48 | Ratio: 310.49
Timestamp: 2026-06-11 20:23:58 | BTC: $62853.39 | NVDA: $202.48 | Ratio: 310.42
Timestamp: 2026-06-11 20:24:09 | BTC: $62853.39 | NVDA: $202.45 | Ratio: 310.46
Timestamp: 2026-06-11 20:24:19 | BTC: $62875.44 | NVDA: $202.40 | Ratio: 310.65
Timestamp: 2026-06-11 20:24:29 | BTC: $62875.44 | NVDA: $202.40 | Ratio: 310.65
Timestamp: 2026-06-11 20:24:40 | BTC: $62903.88 | NVDA: $202.56 | Ratio: 310.55
Timestamp: 2026-06-11 20:24:50 | BTC: $62903.88 | NVDA: $202.56 | Ratio: 310.55
Timestamp: 2026-06-11 20:25:01 | BTC: $62891.05 | NVDA: $202.53 | Ratio: 310.53
Timestamp: 2026-06-11 20:25:11 | BTC: $62891.05 | NVDA: $202.53 | Ratio: 310.53
Timestamp: 2026-06-11 20:25:22 | BTC: $62885.90 | NVDA: $202.66 | Ratio: 310.30
Timestamp: 2026-06-11 20:25:32 | BTC: $62885.90 | NVDA: $202.66 | Ratio: 310.30
Timestamp: 2026-06-11 20:25:43 | BTC: $62901.08 | NVDA: $202.79 | Ratio: 310.18
Timestamp: 2026-06-11 20:25:53 | BTC: $62884.01 | NVDA: $202.79 | Ratio: 310.09
Timestamp: 2026-06-11 20:26:04 | BTC: $62875.36 | NVDA: $202.77 | Ratio: 310.08
Timestamp: 2026-06-11 20:26:15 | BTC: $62875.36 | NVDA: $202.78 | Ratio: 310.07
Timestamp: 2026-06-11 20:26:25 | BTC: $62835.53 | NVDA: $202.78 | Ratio: 309.87
Timestamp: 2026-06-11 20:26:36 | BTC: $62824.29 | NVDA: $202.46 | Ratio: 310.30
Timestamp: 2026-06-11 20:26:46 | BTC: $62824.29 | NVDA: $202.46 | Ratio: 310.30
Timestamp: 2026-06-11 20:26:57 | BTC: $62828.25 | NVDA: $202.63 | Ratio: 310.06
Timestamp: 2026-06-11 20:27:07 | BTC: $62828.25 | NVDA: $202.63 | Ratio: 310.06
Timestamp: 2026-06-11 20:27:18 | BTC: $62853.38 | NVDA: $202.55 | Ratio: 310.30
Timestamp: 2026-06-11 20:27:28 | BTC: $62871.00 | NVDA: $202.55 | Ratio: 310.39
Timestamp: 2026-06-11 20:27:39 | BTC: $62872.71 | NVDA: $202.48 | Ratio: 310.51
Timestamp: 2026-06-11 20:27:49 | BTC: $62872.71 | NVDA: $202.48 | Ratio: 310.51
Timestamp: 2026-06-11 20:28:00 | BTC: $62853.42 | NVDA: $202.18 | Ratio: 310.88
Timestamp: 2026-06-11 20:28:10 | BTC: $62853.39 | NVDA: $202.18 | Ratio: 310.88
Timestamp: 2026-06-11 20:28:21 | BTC: $62834.54 | NVDA: $202.20 | Ratio: 310.76
Timestamp: 2026-06-11 20:28:31 | BTC: $62834.54 | NVDA: $202.20 | Ratio: 310.76
Timestamp: 2026-06-11 20:28:42 | BTC: $62866.22 | NVDA: $202.25 | Ratio: 310.83
Timestamp: 2026-06-11 20:28:52 | BTC: $62894.19 | NVDA: $202.25 | Ratio: 310.97
Timestamp: 2026-06-11 20:29:03 | BTC: $62894.19 | NVDA: $202.48 | Ratio: 310.62
Timestamp: 2026-06-11 20:29:13 | BTC: $62936.04 | NVDA: $202.48 | Ratio: 310.83
Timestamp: 2026-06-11 20:29:24 | BTC: $62933.15 | NVDA: $202.43 | Ratio: 310.89
Timestamp: 2026-06-11 20:29:34 | BTC: $62933.15 | NVDA: $202.43 | Ratio: 310.89
Timestamp: 2026-06-11 20:29:45 | BTC: $62961.19 | NVDA: $202.38 | Ratio: 311.10
